PC7_10399	a4b7 Integrin signaling
PC7_1537	Activation of NF-kappaB in B cells
PC7_1538	Activation of NIMA Kinases NEK9, NEK6, NEK7
PC7_1539	Activation of NMDA receptor upon glutamate binding and postsynaptic events
PC7_1540	Activation of NOXA and translocation to mitochondria
PC7_1541	Activation of Na-permeable Kainate Receptors
PC7_1543	Activation of PKB
PC7_1544	Activation of PPARGC1A (PGC-1alpha) by phosphorylation
PC7_1545	Activation of PUMA and translocation to mitochondria
PC7_1546	Activation of RAS in B cells
PC7_1547	Activation of Rac
PC7_1548	Activation of TRKA receptors
PC7_1549	Activation of caspases through apoptosome-mediated cleavage
PC7_1550	Activation of gene expression by SREBF (SREBP)
PC7_1551	Activation of the AP-1 family of transcription factors
PC7_1552	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S
PC7_1553	Activation of the phototransduction cascade
PC7_1554	Activation of the pre-replicative complex
PC7_1555	Activation, translocation and oligomerization of BAX
PC7_1556	Acyl chain remodeling of CL
PC7_1557	Acyl chain remodeling of DAG and TAG
PC7_1558	Acyl chain remodelling of PC
PC7_1559	Acyl chain remodelling of PE
PC7_1560	Acyl chain remodelling of PG
PC7_1561	Acyl chain remodelling of PI
PC7_1562	Acyl chain remodelling of PS
PC7_1563	Adaptive Immune System
PC7_1565	Adenosine P1 receptors
PC7_1571	Adenylate cyclase activating pathway
PC7_1572	Adenylate cyclase inhibitory pathway
PC7_1573	Adherens junctions interactions
PC7_1576	Adrenaline signalling through Alpha-2 adrenergic receptor
PC7_1577	Adrenaline,noradrenaline inhibits insulin secretion
PC7_1578	Adrenoceptors
PC7_1580	Advanced glycosylation endproduct receptor signaling
PC7_1581	Aflatoxin activation and detoxification
PC7_1582	Agmatine biosynthesis
PC7_1596	Alpha-defensins
PC7_1597	Alpha-oxidation of phytanate
PC7_1598	Alpha-synuclein signaling
PC7_1599	Alpha4 beta1 integrin signaling events
PC7_1600	Alpha6 beta4 integrin-ligand interactions
PC7_1601	Alpha9 beta1 integrin signaling events
PC7_1602	AlphaE beta7 integrin cell surface interactions
PC7_1606	Alternative NF-kappaB pathway
PC7_1607	Alternative complement activation
PC7_1622	Amine Oxidase reactions
PC7_1623	Amine compound SLC transporters
PC7_1624	Amine ligand-binding receptors
PC7_1625	Amine-derived hormones
PC7_1626	Amino Acid conjugation
PC7_1629	Amino acid and derivative metabolism
PC7_1630	Amino acid and oligopeptide SLC transporters
PC7_1631	Amino acid synthesis and interconversion (transamination)
PC7_1632	Amino acid transport across the plasma membrane
PC7_1653	Amplification of signal from the kinetochores
PC7_1655	Amyloids
PC7_1657	Anchoring fibril formation
PC7_1658	Androgen biosynthesis
PC7_1664	Angiopoietin receptor Tie2-mediated signaling
PC7_1667	Antagonism of Activin by Follistatin
PC7_1669	Antigen Presentation: Folding, assembly and peptide loading of class I MHC
PC7_1670	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
PC7_1671	Antigen processing-Cross presentation
PC7_1672	Antigen processing: Ubiquitination & Proteasome degradation
PC7_1674	Antiviral mechanism by IFN-stimulated genes
PC7_1684	Apoptosis
PC7_1687	Apoptotic cleavage of cell adhesion proteins
PC7_1688	Apoptotic cleavage of cellular proteins
PC7_1689	Apoptotic execution phase
PC7_1690	Apoptotic factor-mediated response
PC7_1691	Aquaporin-mediated transport
PC7_1692	Arachidonate production from DAG
PC7_1693	Arachidonic acid metabolism
PC7_1695	Arf1 pathway
PC7_1696	Arf6 downstream pathway
PC7_1697	Arf6 signaling events
PC7_1698	Arf6 trafficking events
PC7_1750	Asparagine N-linked glycosylation
PC7_1810	Assembly Of The HIV Virion
PC7_1811	Assembly of Viral Components at the Budding Site
PC7_1812	Assembly of collagen fibrils and other multimeric structures
PC7_1813	Assembly of the ORC complex at the origin of replication
PC7_1814	Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks
PC7_1815	Assembly of the RAD51-ssDNA nucleoprotein complex
PC7_1816	Assembly of the pre-replicative complex
PC7_1817	Association of TriC/CCT with target proteins during biosynthesis
PC7_1818	Association of licensing factors with the pre-replicative complex
PC7_1820	Astrocytic Glutamate-Glutamine Uptake And Metabolism
PC7_1821	Asymmetric localization of PCP proteins
PC7_1849	Attachment of GPI anchor to uPAR
PC7_1850	Attenuation phase
PC7_1851	Atypical NF-kappaB pathway
PC7_1855	Aurora A signaling
PC7_1856	Aurora B signaling
PC7_1857	Aurora C signaling
PC7_1858	Autodegradation of Cdh1 by Cdh1:APC/C
PC7_1859	Autodegradation of the E3 ubiquitin ligase COP1
PC7_1860	Autointegration results in viral DNA circles
PC7_1863	Axon guidance
PC7_1867	Axonal growth inhibition (RHOA activation)
PC7_1868	Axonal growth stimulation
PC7_1877	B Cell Activation
PC7_1883	BARD1 signaling events
PC7_1987	BCR signaling pathway
PC7_1994	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
PC7_2008	BMAL1:CLOCK,NPAS2 activates circadian gene expression
PC7_2012	BMP receptor signaling
PC7_2032	Base Excision Repair
PC7_2033	Base-Excision Repair, AP Site Formation
PC7_2034	Base-free sugar-phosphate removal via the single-nucleotide replacement pathway
PC7_2035	Basigin interactions
PC7_2064	Beta defensins
PC7_2065	Beta oxidation of butanoyl-CoA to acetyl-CoA
PC7_2066	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
PC7_2067	Beta oxidation of hexanoyl-CoA to butanoyl-CoA
PC7_2068	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
PC7_2069	Beta oxidation of myristoyl-CoA to lauroyl-CoA
PC7_2071	Beta oxidation of palmitoyl-CoA to myristoyl-CoA
PC7_2072	Beta-catenin phosphorylation cascade
PC7_2073	Beta-oxidation of pristanoyl-CoA
PC7_2074	Beta-oxidation of very long chain fatty acids
PC7_2076	Beta1 integrin cell surface interactions
PC7_2078	Beta2 integrin cell surface interactions
PC7_2080	Beta3 integrin cell surface interactions
PC7_2081	Beta5 beta6 beta7 and beta8 integrin cell surface interactions
PC7_2089	Bicarbonate transporters
PC7_2090	Bile acid and bile salt metabolism
PC7_2091	Bile salt and organic anion SLC transporters
PC7_2095	Binding and Uptake of Ligands by Scavenger Receptors
PC7_2096	Binding and entry of HIV virion
PC7_2097	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB
PC7_2098	Biological oxidations
PC7_2100	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein
PC7_2103	Biotin transport and metabolism
PC7_2117	Branched-chain amino acid catabolism
PC7_2118	Breakdown of the nuclear lamina
PC7_2124	Budding and maturation of HIV virion
PC7_2164	Butyrate Response Factor 1 (BRF1) destabilizes mRNA
PC7_2170	C-MYB transcription factor network
PC7_2171	C-MYC pathway
PC7_2173	C6 deamination of adenosine
PC7_2251	CD28 co-stimulation
PC7_2252	CD28 dependent PI3K/Akt signaling
PC7_2253	CD28 dependent Vav1 pathway
PC7_2255	CD40/CD40L signaling
PC7_2263	CDC42 signaling events
PC7_2264	CDC6 association with the ORC:origin complex
PC7_2265	CDK-mediated phosphorylation and removal of Cdc6
PC7_2276	CDO in myogenesis
PC7_2278	CDT1 association with the CDC6:ORC:origin complex
PC7_2301	CHL1 interactions
PC7_2324	COPI Mediated Transport
PC7_2325	COPII (Coat Protein 2) Mediated Vesicle Transport
PC7_2331	CREB phosphorylation
PC7_2332	CREB phosphorylation through the activation of Adenylate Cyclase
PC7_2333	CREB phosphorylation through the activation of CaMKII
PC7_2334	CREB phosphorylation through the activation of CaMKK
PC7_2335	CREB phosphorylation through the activation of Ras
PC7_2347	CRMPs in Sema3A signaling
PC7_2348	CS/DS degradation
PC7_2360	CTLA4 inhibitory signaling
PC7_2372	CXCR3-mediated signaling events
PC7_2373	CXCR4-mediated signaling events
PC7_2379	CYP2E1 reactions
PC7_2391	Ca activated K+ channels
PC7_2392	Ca-dependent events
PC7_2393	Ca2+ pathway
PC7_2394	CaM pathway
PC7_2395	CaMK IV-mediated phosphorylation of CREB
PC7_2440	Calcineurin-regulated NFAT-dependent transcription in lymphocytes
PC7_2441	Calcitonin-like ligand receptors
PC7_2458	Calcium signaling in the CD4+ TCR pathway
PC7_2460	Calnexin/calreticulin cycle
PC7_2461	Cam-PDE 1 activation
PC7_2467	Canonical NF-kappaB pathway
PC7_2468	Canonical Wnt signaling pathway
PC7_2469	Cap-dependent Translation Initiation
PC7_2500	Carbohydrate metabolism
PC7_2505	Carnitine synthesis
PC7_2506	Caspase Cascade in Apoptosis
PC7_2507	Caspase-8 activation by cleavage
PC7_2508	Caspase-mediated cleavage of cytoskeletal proteins
PC7_2516	Catecholamine biosynthesis
PC7_2517	Cation-coupled Chloride cotransporters
PC7_2518	Cdc20:Phospho-APC/C mediated degradation of Cyclin A
PC7_2519	Cell Cycle
PC7_2520	Cell Cycle Checkpoints
PC7_2521	Cell Cycle, Mitotic
PC7_2523	Cell death signalling via NRAGE, NRIF and NADE
PC7_2524	Cell junction organization
PC7_2525	Cell surface interactions at the vascular wall
PC7_2526	Cell-Cell communication
PC7_2527	Cell-cell junction organization
PC7_2528	Cell-extracellular matrix interactions
PC7_2529	Cellular Senescence
PC7_2530	Cellular response to heat stress
PC7_2531	Cellular response to hypoxia
PC7_2532	Cellular responses to stress
PC7_2533	Cellular roles of Anthrax toxin
PC7_2534	Centrosome maturation
PC7_2535	Ceramide signaling pathway
PC7_2536	Ceramide signalling
PC7_2539	ChREBP activates metabolic gene expression
PC7_2541	Chaperonin-mediated protein folding
PC7_2543	Chemokine receptors bind chemokines
PC7_2544	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
PC7_2565	Cholesterol biosynthesis
PC7_2568	Chondroitin sulfate biosynthesis
PC7_2569	Chondroitin sulfate/dermatan sulfate metabolism
PC7_2570	Chromatin modifying enzymes
PC7_2575	Chromosome Maintenance
PC7_2576	Chylomicron-mediated lipid transport
PC7_2582	Circadian Clock
PC7_2584	Circadian rhythm pathway
PC7_2610	Citric acid cycle (TCA cycle)
PC7_2620	Class A/1 (Rhodopsin-like receptors)
PC7_2621	Class B/2 (Secretin family receptors)
PC7_2622	Class C/3 (Metabotropic glutamate/pheromone receptors)
PC7_2623	Class I MHC mediated antigen processing & presentation
PC7_2624	Class I PI3K signaling events
PC7_2625	Class I PI3K signaling events mediated by Akt
PC7_2626	Class IB PI3K non-lipid kinase events
PC7_2627	Class II GLUTs
PC7_2628	Classical Kir channels
PC7_2629	Classical antibody-mediated complement activation
PC7_2630	Clathrin derived vesicle budding
PC7_2631	Clearance of Nuclear Envelope Membranes from Chromatin
PC7_2632	Clearance of dopamine
PC7_2633	Clearance of seratonin
PC7_2634	Cleavage of Growing Transcript in the Termination Region
PC7_2635	Cleavage of the damaged purine
PC7_2636	Cleavage of the damaged pyrimidine
PC7_2647	Clostridium neurotoxicity
PC7_2651	Cobalamin (Cbl, vitamin B12) transport and metabolism
PC7_2659	Coenzyme A biosynthesis
PC7_2661	Cohesin Loading onto Chromatin
PC7_2668	Collagen biosynthesis and modifying enzymes
PC7_2669	Collagen degradation
PC7_2670	Collagen formation
PC7_2671	Common Pathway
PC7_2672	Complement cascade
PC7_2673	Condensation of Prometaphase Chromosomes
PC7_2674	Condensation of Prophase Chromosomes
PC7_2675	Conjugation of benzoate with glycine
PC7_2677	Conjugation of phenylacetate with glutamine
PC7_2678	Conjugation of salicylate with glycine
PC7_2679	Constitutive PI3K/AKT Signaling in Cancer
PC7_2680	Constitutive Signaling by NOTCH1 HD Domain Mutants
PC7_2681	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
PC7_2683	Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant
PC7_2684	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
PC7_2685	Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding
PC7_2698	Coregulation of Androgen receptor activity
PC7_2701	Costimulation by the CD28 family
PC7_2703	Creatine metabolism
PC7_2704	Creation of C4 and C2 activators
PC7_2705	Cross-presentation of particulate exogenous antigens (phagosomes)
PC7_2706	Cross-presentation of soluble exogenous antigens (endosomes)
PC7_2707	Crosslinking of collagen fibrils
PC7_2829	Cyclin A/B1 associated events during G2/M transition
PC7_2830	Cyclin A:Cdk2-associated events at S phase entry
PC7_2831	Cyclin B2 mediated events
PC7_2832	Cyclin D associated events in G1
PC7_2833	Cyclin E associated events during G1/S transition
PC7_2890	Cysteine formation from homocysteine
PC7_2905	Cytochrome P450 - arranged by substrate type
PC7_2907	Cytokine Signaling in Immune system
PC7_2909	Cytosolic iron-sulfur cluster assembly
PC7_2910	Cytosolic sensors of pathogen-associated DNA
PC7_2911	Cytosolic sulfonation of small molecules
PC7_2912	Cytosolic tRNA aminoacylation
PC7_2924	DAG and IP3 signaling
PC7_2925	DAP12 interactions
PC7_2926	DAP12 signaling
PC7_2927	DARPP-32 events
PC7_2928	DCC mediated attractive signaling
PC7_2942	DEx/H-box helicases activate type I IFN and inflammatory cytokines production
PC7_2946	DNA Damage Bypass
PC7_2947	DNA Damage Recognition in GG-NER
PC7_2948	DNA Damage Reversal
PC7_2949	DNA Damage/Telomere Stress Induced Senescence
PC7_2950	DNA Repair
PC7_2951	DNA Replication
PC7_2952	DNA Replication Pre-Initiation
PC7_2953	DNA methylation
PC7_2955	DNA replication initiation
PC7_2956	DNA strand elongation
PC7_2957	DNA-PK pathway in nonhomologous end joining
PC7_2968	DSCAM interactions
PC7_3014	Deadenylation of mRNA
PC7_3015	Deadenylation-dependent mRNA decay
PC7_3016	Death Receptor Signalling
PC7_3017	Defective AMN causes hereditary megaloblastic anemia 1
PC7_3018	Defective B3GAT3 causes JDSSDHD
PC7_3046	Defensins
PC7_3059	Degradation of GABA
PC7_3060	Degradation of GLI1 by the proteasome
PC7_3061	Degradation of GLI2 by the proteasome
PC7_3062	Degradation of beta catenin
PC7_3064	Degradation of cysteine and homocysteine
PC7_3065	Degradation of the extracellular matrix
PC7_3071	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels
PC7_3072	Depolymerisation of the Nuclear Lamina
PC7_3073	Deposition of new CENPA-containing nucleosomes at the centromere
PC7_3077	Dermatan sulfate biosynthesis
PC7_3083	Detoxification of Reactive Oxygen Species
PC7_3084	Developmental Biology
PC7_3166	Digestion of dietary carbohydrate
PC7_3167	Digestion of dietary lipid
PC7_3277	Direct p53 effectors
PC7_3278	Disease
PC7_3280	Diseases associated with visual transduction
PC7_3282	Disinhibition of SNARE formation
PC7_3283	Displacement of DNA glycosylase by APE1
PC7_3284	Dissolution of Fibrin Clot
PC7_3315	Dopamine Neurotransmitter Release Cycle
PC7_3318	Dopamine receptors
PC7_3319	Double-Strand Break Repair
PC7_3320	Downregulation of ERBB2:ERBB3 signaling
PC7_3321	Downregulation of ERBB4 signaling
PC7_3322	Downregulation of SMAD2/3:SMAD4 transcriptional activity
PC7_3323	Downregulation of TGF-beta receptor signaling
PC7_3324	Downstream TCR signaling
PC7_3325	Downstream signal transduction
PC7_3326	Downstream signaling events of B Cell Receptor (BCR)
PC7_3327	Downstream signaling in naïve CD8+ T cells
PC7_3328	Downstream signaling of activated FGFR
PC7_3348	Dual incision reaction in GG-NER
PC7_3349	Dual incision reaction in TC-NER
PC7_3358	E-cadherin signaling events
PC7_3359	E-cadherin signaling in keratinocytes
PC7_3360	E-cadherin signaling in the nascent adherens junction
PC7_3361	E2F mediated regulation of DNA replication
PC7_3362	E2F transcription factor network
PC7_3363	E2F-enabled inhibition of pre-replication complex formation
PC7_3366	ECM proteoglycans
PC7_3384	EGFR Transactivation by Gastrin
PC7_3385	EGFR downregulation
PC7_3386	EGFR interacts with phospholipase C-gamma
PC7_3392	EGFR-dependent Endothelin signaling events
PC7_3415	EPH-Ephrin signaling
PC7_3416	EPH-ephrin mediated repulsion of cells
PC7_3417	EPHA forward signaling
PC7_3418	EPHA-mediated growth cone collapse
PC7_3419	EPHA2 forward signaling
PC7_3420	EPHB forward signaling
PC7_3421	EPHB-mediated forward signaling
PC7_3424	EPO signaling pathway
PC7_3425	ER Quality Control Compartment (ERQC)
PC7_3427	ER-Phagosome pathway
PC7_3433	ERK activation
PC7_3434	ERK/MAPK targets
PC7_3435	ERK1 activation
PC7_3436	ERK2 activation
PC7_3437	ERKs are inactivated
PC7_3629	Early Phase of HIV Life Cycle
PC7_3632	Effects of Botulinum toxin
PC7_3633	Effects of PIP2 hydrolysis
PC7_3646	Eicosanoid ligand-binding receptors
PC7_3647	Eicosanoids
PC7_3649	Elastic fibre formation
PC7_3650	Electric Transmission Across Gap Junctions
PC7_3651	Electron transport from NADPH to Ferredoxin
PC7_3652	Elevation of cytosolic Ca2+ levels
PC7_3653	Elongation arrest and recovery
PC7_3663	Endogenous TLR signaling
PC7_3664	Endogenous sterols
PC7_3666	Endosomal Sorting Complex Required For Transport (ESCRT)
PC7_3667	Endosomal/Vacuolar pathway
PC7_3670	Endothelins
PC7_3671	Energy dependent regulation of mTOR by LKB1-AMPK
PC7_3674	Enzymatic degradation of Dopamine by monoamine oxidase
PC7_3677	Ephrin A reverse signaling
PC7_3678	Ephrin B reverse signaling
PC7_3679	Ephrin signaling
PC7_3680	EphrinA-EPHA pathway
PC7_3681	EphrinB-EPHB pathway
PC7_3682	Epigenetic regulation of gene expression
PC7_3697	ErbB receptor signaling network
PC7_3698	ErbB1 downstream signaling
PC7_3699	ErbB2/ErbB3 signaling events
PC7_3700	ErbB4 signaling events
PC7_3701	Erythrocytes take up carbon dioxide and release oxygen
PC7_3703	Establishment of Sister Chromatid Cohesion
PC7_3752	Estrogen biosynthesis
PC7_3756	Ethanol oxidation
PC7_3772	Eukaryotic Translation Elongation
PC7_3774	Eukaryotic Translation Termination
PC7_3775	Export of Viral Ribonucleoproteins from Nucleus
PC7_3776	Extension of Telomeres
PC7_3777	Extracellular matrix organization
PC7_3778	Extrinsic Pathway
PC7_3798	FAS (CD95) signaling pathway
PC7_3803	FBXW7 Mutants and NOTCH1 in Cancer
PC7_3805	FCERI mediated Ca+2 mobilization
PC7_3806	FCERI mediated MAPK activation
PC7_3807	FCERI mediated NF-kB activation
PC7_3808	FCGR activation
PC7_3811	FGF signaling pathway
PC7_3818	FGFR ligand binding and activation
PC7_3819	FGFR1 ligand binding and activation
PC7_3820	FGFR1b ligand binding and activation
PC7_3821	FGFR1c and Klotho ligand binding and activation
PC7_3822	FGFR1c ligand binding and activation
PC7_3824	FGFR2b ligand binding and activation
PC7_3825	FGFR2c ligand binding and activation
PC7_3826	FGFR3 ligand binding and activation
PC7_3827	FGFR3b ligand binding and activation
PC7_3829	FGFR4 ligand binding and activation
PC7_3845	FMO oxidises nucleophiles
PC7_3849	FOXA transcription factor networks
PC7_3852	FOXA1 transcription factor network
PC7_3853	FOXA2 and FOXA3 transcription factor networks
PC7_3855	FOXM1 transcription factor network
PC7_3864	FRS2-mediated cascade
PC7_3868	Facilitative Na+-independent glucose transporters
PC7_3869	Factors involved in megakaryocyte development and platelet production
PC7_3874	Fanconi Anemia pathway
PC7_3875	Fanconi anemia pathway
PC7_3876	FasL/ CD95L signaling
PC7_3877	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion
PC7_3878	Fatty Acyl-CoA Biosynthesis
PC7_3882	Fatty acid, triacylglycerol, and ketone body metabolism
PC7_3883	Fatty acids
PC7_3884	Fc epsilon receptor (FCERI) signaling
PC7_3885	Fc-epsilon receptor I signaling in mast cells
PC7_3886	Fcgamma receptor (FCGR) dependent phagocytosis
PC7_3901	Fertilization
PC7_3902	Fibronectin matrix formation
PC7_3903	Ficolins bind to repetitive carbohydrate structures on the target cell surface
PC7_3953	Folding of actin by CCT/TriC
PC7_3957	Formation of ATP by chemiosmotic coupling
PC7_3958	Formation of Fibrin Clot (Clotting Cascade)
PC7_3959	Formation of HIV elongation complex in the absence of HIV Tat
PC7_3960	Formation of HIV-1 elongation complex containing HIV-1 Tat
PC7_3962	Formation of Senescence-Associated Heterochromatin Foci (SAHF)
PC7_3963	Formation of a pool of free 40S subunits
PC7_3964	Formation of annular gap junctions
PC7_3965	Formation of apoptosome
PC7_3968	Formation of the Early Elongation Complex
PC7_3969	Formation of the Editosome
PC7_3971	Formation of the active cofactor, UDP-glucuronate
PC7_3972	Formation of the ternary complex, and subsequently, the 43S complex
PC7_3974	Formation of tubulin folding intermediates by CCT/TriC
PC7_3975	Formyl peptide receptors bind formyl peptides and many other ligands
PC7_3980	FoxO family signaling
PC7_3981	Free fatty acid receptors
PC7_3983	Frs2-mediated activation
PC7_3985	Fructose catabolism
PC7_3991	G alpha (12/13) signalling events
PC7_3992	G alpha (i) signalling events
PC7_3993	G alpha (q) signalling events
PC7_3994	G alpha (s) signalling events
PC7_3995	G alpha (z) signalling events
PC7_3996	G beta:gamma signalling through PI3Kgamma
PC7_3997	G beta:gamma signalling through PLC beta
PC7_3999	G-protein activation
PC7_4000	G-protein beta:gamma signalling
PC7_4001	G-protein mediated events
PC7_4002	G0 and Early G1
PC7_4004	G1/S DNA Damage Checkpoints
PC7_4005	G1/S Transition
PC7_4006	G1/S-Specific Transcription
PC7_4007	G2 Phase
PC7_4008	G2/M Checkpoints
PC7_4009	G2/M DNA damage checkpoint
PC7_4010	G2/M DNA replication checkpoint
PC7_4011	G2/M Transition
PC7_4012	GAB1 signalosome
PC7_4013	GABA A (rho) receptor activation
PC7_4014	GABA A receptor activation
PC7_4016	GABA receptor activation
PC7_4018	GABA synthesis
PC7_4019	GABA synthesis, release, reuptake and degradation
PC7_4037	GLI3 is processed to GLI3R by the proteasome
PC7_4038	GMCSF-mediated signaling events
PC7_4042	GP1b-IX-V activation signalling
PC7_4043	GPCR downstream signaling
PC7_4044	GPCR ligand binding
PC7_4053	GPVI-mediated activation cascade
PC7_4061	GRB2 events in EGFR signaling
PC7_4062	GRB2 events in ERBB2 signaling
PC7_4063	GRB2:SOS provides linkage to MAPK signaling for Integrins
PC7_4064	GRB7 events in ERBB2 signaling
PC7_4085	GTP hydrolysis and joining of the 60S ribosomal subunit
PC7_4093	Galactose catabolism
PC7_4099	Gamma-carboxylation of protein precursors
PC7_4100	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins
PC7_4101	Gap junction assembly
PC7_4102	Gap junction degradation
PC7_4103	Gap junction trafficking
PC7_4104	Gap junction trafficking and regulation
PC7_4105	Gap-filling DNA repair synthesis and ligation in GG-NER
PC7_4107	Gastrin-CREB signalling pathway via PKC and MAPK
PC7_4112	Gene Expression
PC7_4115	Generation of second messenger molecules
PC7_4116	Generic Transcription Pathway
PC7_4156	Global Genomic NER (GG-NER)
PC7_4157	Glucagon signaling in metabolic regulation
PC7_4158	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion
PC7_4159	Glucagon-type ligand receptors
PC7_4160	Glucocorticoid biosynthesis
PC7_4161	Glucocorticoid receptor regulatory network
PC7_4162	Gluconeogenesis
PC7_4207	Glucose metabolism
