A	Alimentary tract and metabolism
A03AB16	(2-benzhydryloxyethyl)diethyl-methylammonium iodide
A03AB17	Tiemonium iodide
A03AB18	Prifinium bromide
A03AB19	Timepidium bromide
A03AB21	Fenpiverinium
A03AB53	Oxyphenonium, combinations
A03AC	Synthetic antispasmodics, amides with tertiary amines
A03AC02	Dimethylaminopropionylphenothiazine
A03AC04	Nicofetamide
A03AC05	Tiropramide
A03AD	Papaverine and derivatives
A03AD02	Drotaverine
A03AD30	Moxaverine
A03AE	Serotonin receptor antagonists
A03AE01	Alosetron
A03AE03	Cilansetron
A03AX	Other drugs for functional gastrointestinal disorders
A03AX01	Fenpiprane
A03AX02	Diisopromine
A03AX03	Chlorbenzoxamine
A03AX04	Pinaverium
A03AX05	Fenoverine
A03AX06	Idanpramine
A03AX07	Proxazole
A03AX08	Alverine
A03AX09	Trepibutone
A03AX10	Isometheptene
A03AX11	Caroverine
A03AX12	Phloroglucinol
A03AX14	Valethamate
A03AX30	Trimethyldiphenylpropylamine
A03B	Belladonna and derivatives, plain
A03BA	Belladonna alkaloids, tertiary amines
A03BA03	Hyoscyamine
A03BB	Belladonna alkaloids, semisynthetic, quaternary ammonium compounds
A03BB02	Methylatropine
A03BB04	Fentonium
A03BB05	Cimetropium bromide
A03C	Antispasmodics in combination with psycholeptics
A03CA	Synthetic anticholinergic agents in combination with psycholeptics
A03CA01	Isopropamide and psycholeptics
A03CA02	Clidinium and psycholeptics
A03CA04	Otilonium bromide and psycholeptics
A03CA08	Diphemanil and psycholeptics
A03CA09	Pipenzolate and psycholeptics
A03CA30	Emepronium and psycholeptics
A03CB	Belladonna and derivatives in combination with psycholeptics
A03CB01	Methylscopolamine and psycholeptics
A03CB04	Homatropine methylbromide and psycholeptics
A03D	Antispasmodics in combination with analgesics
A03DA	Synthetic anticholinergic agents in combination with analgesics
A03DA06	Trospium and analgesics
A03DB	Belladonna and derivatives in combination with analgesics
A03DB04	Butylscopolamine and analgesics
A03F	Propulsives
A03FA	Propulsives
A03FA01	Metoclopramide
A03FA02	Cisapride
A03FA03	Domperidone
A03FA04	Bromopride
A03FA05	Alizapride
A03FA06	Clebopride
A03FA07	Itopride
A03FA08	Cinitapride
A04	Antiemetics and antinauseants
A04A	Antiemetics and antinauseants
A04AA	Serotonin (5ht3) antagonists
A04AA01	Ondansetron
A04AA02	Granisetron
A04AA03	Tropisetron
A04AA04	Dolasetron
A04AA55	Palonosetron, combinations
A04AD	Other antiemetics
A04AD02	Cerium oxalate
A04AD05	Metopimazine
A04AD10	Dronabinol
A04AD11	Nabilone
A04AD12	Aprepitant
A04AD13	Casopitant
A04AD14	Rolapitant
A04AD54	Chlorobutanol, combinations
A05	Bile and liver therapy
A05A	Bile therapy
A05AA	Bile acids and derivatives
A05AA01	Chenodeoxycholic acid
A05AA02	Ursodeoxycholic acid
A05AA03	Cholic acid
A05AA04	Obeticholic acid
A05AB	Preparations for biliary tract therapy
A05AB01	Nicotinyl methylamide
A05AX	Other drugs for bile therapy
A05AX01	Piprozolin
A05AX02	Hymecromone
A05AX03	Cyclobutyrol
A05B	Liver therapy, lipotropics
A05BA	Liver therapy
A05BA01	Arginine glutamate
A05BA04	Citiolone
A05BA05	Epomediol
A05BA06	Ornithine oxoglurate
A05BA07	Tidiacic arginine
A05BA08	Glycyrrhizic acid
A06	Drugs for constipation
A06A	Drugs for constipation
A06AA	Softeners, emollients
A06AA01	Liquid paraffin
A06AB	Contact laxatives
A06AB01	Oxyphenisatine
A06AB04	Phenolphthalein
A06AB05	Castor oil
A06AB08	Sodium picosulfate
A06AB09	Bisoxatin
A06AB52	Bisacodyl, combinations
A06AB53	Dantron, combinations
A06AB56	Senna glycosides, combinations
A06AC	Bulk-forming laxatives
A06AC06	Methylcellulose
A06AC08	Polycarbophil calcium
A06AC51	Ispaghula, combinations
A06AD	Osmotically acting laxatives
A06AD03	Magnesium peroxide
A06AD04	Magnesium sulfate
A06AD12	Lactitol
A06AD13	Sodium sulfate
A06AD14	Pentaerithrityl
A06AD15	Macrogol
A06AD21	Sodium tartrate
A06AD61	Lactulose, combinations
A06AG	Enemas
A06AG11	Sodium lauryl sulfoacetate, incl. combinations
A06AH	Peripheral opioid receptor antagonists
A06AH01	Methylnaltrexone bromide
A06AH02	Alvimopan
A06AH03	Naloxegol
A06AH04	Naloxone
A06AH05	Naldemedine
A06AX	Other drugs for constipation
A06AX01	Glycerol
A06AX03	Lubiprostone
A06AX04	Linaclotide
A06AX05	Prucalopride
A06AX06	Tegaserod
A06AX07	Plecanatide
A07	Antidiarrheals, intestinal antiinflammatory/antiinfective agents
A07A	Intestinal antiinfectives
A07AA	Antibiotics
A07AA06	Paromomycin
A07AA11	Rifaximin
A07AA12	Fidaxomicin
A07AA51	Neomycin, combinations
A07AB	Sulfonamides
A07AB03	Sulfaguanidine
A07AB04	Succinylsulfathiazole
A07AC	Imidazole derivatives
A07AC01	Miconazole
A07AX	Other intestinal antiinfectives
A07AX03	Nifuroxazide
A07AX04	Nifurzide
A07B	Intestinal adsorbents
A07BA	Charcoal preparations
A07BA51	Medicinal charcoal, combinations
A07BC	Other intestinal adsorbents
A07BC01	Pectin
A07BC02	Kaolin
A07BC05	Diosmectite
A07BC54	Attapulgite, combinations
A07D	Antipropulsives
A07DA	Antipropulsives
A07DA01	Diphenoxylate
A07DA02	Opium
A07DA03	Loperamide
A07DA04	Difenoxin
A07DA05	Loperamide oxide
A07DA06	Eluxadoline
A07DA52	Morphine, combinations
A07E	Intestinal antiinflammatory agents
A07EA	Corticosteroids acting locally
A07EA03	Prednisone
A07EC	Aminosalicylic acid and similar agents
A07EC01	Sulfasalazine
A07EC02	Mesalazine
A07EC03	Olsalazine
A07EC04	Balsalazide
A07X	Other antidiarrheals
A07XA	Other antidiarrheals
A07XA04	Racecadotril
A07XA06	Crofelemer
A08	Antiobesity preparations, excl. diet products
A08A	Antiobesity preparations, excl. diet products
A08AA	Centrally acting antiobesity products
A08AA01	Phentermine
A08AA02	Fenfluramine
A08AA03	Amfepramone
A08AA04	Dexfenfluramine
A08AA05	Mazindol
A08AA06	Etilamfetamine
A08AA07	Cathine
A08AA08	Clobenzorex
A08AA09	Mefenorex
A08AA10	Sibutramine
A08AA11	Lorcaserin
A08AA62	Bupropion and naltrexone
A08AB	Peripherally acting antiobesity products
A08AB01	Orlistat
A08AX	Other antiobesity drugs
A08AX01	Rimonabant
A09	Digestives, incl. enzymes
A09A	Digestives, incl. enzymes
A09AA	Enzyme preparations
A09AA02	Multienzymes (lipase, protease etc.)
A09AA04	Tilactase
A09AB	Acid preparations
A09AB01	Glutamic acid hydrochloride
A09AB04	Citric acid
A09AC	Enzyme and acid preparations, combinations
A09AC01	Pepsin and acid preparations
A10	Drugs used in diabetes
A10A	Insulins and analogues
A10AB	Insulins and analogues for injection, fast-acting
A10AB06	Insulin glulisine
A10AC	Insulins and analogues for injection, intermediate-acting
A10AC01	Insulin (human)
A10AC03	Insulin (pork)
A10AC04	Insulin lispro
A10AD	Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting
A10AD02	Insulin (beef)
A10AD06	Insulin degludec and insulin aspart
A10AE	Insulins and analogues for injection, long-acting
A10AE05	Insulin detemir
A10AE54	Insulin glargine and lixisenatide
A10AE56	Insulin degludec and liraglutide
A10B	Blood glucose lowering drugs, excl. insulins
A10BA	Biguanides
A10BA01	Phenformin
A10BA03	Buformin
A10BB	Sulfonylureas
A10BB01	Glibenclamide
A10BB02	Chlorpropamide
A10BB04	Glibornuride
A10BB05	Tolazamide
A10BB06	Carbutamide
A10BB07	Glipizide
A10BB08	Gliquidone
A10BB09	Gliclazide
A10BB10	Metahexamide
A10BB11	Glisoxepide
A10BB31	Acetohexamide
A10BC	Sulfonamides (heterocyclic)
A10BC01	Glymidine
A10BD	Combinations of oral blood glucose lowering drugs
A10BD04	Glimepiride and rosiglitazone
A10BD09	Pioglitazone and alogliptin
A10BD13	Metformin and alogliptin
A10BD14	Metformin and repaglinide
A10BD16	Metformin and canagliflozin
A10BD17	Metformin and acarbose
A10BD19	Linagliptin and empagliflozin
A10BD21	Saxagliptin and dapagliflozin
A10BD23	Metformin and ertugliflozin
A10BF	Alpha glucosidase inhibitors
A10BF02	Miglitol
A10BF03	Voglibose
A10BG	Thiazolidinediones
A10BG01	Troglitazone
A10BH	Dipeptidyl peptidase 4 (dpp-4) inhibitors
A10BH02	Vildagliptin
A10BH05	Linagliptin
A10BH06	Gemigliptin
A10BH07	Evogliptin
A10BH51	Sitagliptin and simvastatin
A10BJ	Glucagon-like peptide-1 (glp-1) analogues
A10BJ01	Exenatide
A10BJ04	Albiglutide
A10BJ05	Dulaglutide
A10BJ06	Semaglutide
A10BK	Sodium-glucose co-transporter 2 (sglt2) inhibitors
A10BK01	Dapagliflozin
A10BK05	Ipragliflozin
A10BX	Other blood glucose lowering drugs, excl. insulins
A10BX01	Guar gum
A10BX03	Nateglinide
A10BX05	Pramlintide
A10BX06	Benfluorex
A10BX08	Mitiglinide
A10X	Other drugs used in diabetes
A10XA	Aldose reductase inhibitors
A10XA01	Tolrestat
A11	Vitamins
A11C	Vitamin a and d, incl. combinations of the two
A11CA	Vitamin a, plain
A11CA02	Betacarotene
A11CC	Vitamin d and analogues
A11CC01	Ergocalciferol
A11CC02	Dihydrotachysterol
A11CC03	Alfacalcidol
A11CC06	Calcifediol
A11D	Vitamin b1, plain and in combination with vitamin b6 and b12
A11DA	Vitamin b1, plain
A11DA01	Thiamine (vit b1)
A11DA02	Sulbutiamine
A11DA03	Benfotiamine
A11H	Other plain vitamin preparations
A11HA	Other plain vitamin preparations
A11HA01	Nicotinamide
A11HA03	Tocopherol (vit e)
A11HA04	Riboflavin (vit b2)
A11HA05	Biotin
A11HA06	Pyridoxal phosphate
A11HA07	Inositol
A11HA08	Tocofersolan
A11HA32	Pantethine
A12	Mineral supplements
A12A	Calcium
A12AA	Calcium
A12AA01	Calcium phosphate
A12AA02	Calcium glubionate
A12AA03	Calcium gluconate
A12AA05	Calcium lactate
A12AA06	Calcium lactate gluconate
A12AA07	Calcium chloride
A12AA10	Calcium glucoheptonate
A12AA11	Calcium pangamate
A12AA13	Calcium citrate
A12AA30	Calcium laevulate
A12B	Potassium
A12BA	Potassium
A12BA02	Potassium citrate
A12BA04	Potassium hydrogencarbonate
A12BA05	Potassium gluconate
A12BA51	Potassium chloride, combinations
A12C	Other mineral supplements
A12CC	Magnesium
A12CC01	Magnesium chloride
A12CC03	Magnesium gluconate
A12CC05	Magnesium aspartate
A12CC06	Magnesium lactate
A12CC07	Magnesium levulinate
A12CC08	Magnesium pidolate
A12CC09	Magnesium orotate
A12CD	Fluoride
A12CD02	Sodium monofluorophosphate
A12CE	Selenium
A12CE01	Sodium selenate
A12CE02	Sodium selenite
A14	Anabolic agents for systemic use
A14A	Anabolic steroids
A14AA	Androstan derivatives
A14AA01	Androstanolone
A14AA02	Stanozolol
A14AA03	Metandienone
A14AA04	Metenolone
A14AA05	Oxymetholone
A14AA06	Quinbolone
A14AA08	Oxandrolone
A14AA09	Norethandrolone
A14AB	Estren derivatives
A14AB02	Ethylestrenol
A14AB03	Oxabolone cipionate
A16	Other alimentary tract and metabolism products
A16A	Other alimentary tract and metabolism products
A16AA	Amino acids and derivatives
A16AA01	Levocarnitine
A16AA02	Ademetionine
A16AA03	Glutamine
A16AA04	Mercaptamine
A16AA05	Carglumic acid
A16AA06	Betaine
A16AA07	Metreleptin
A16AB	Enzymes
A16AB01	Alglucerase
A16AB02	Imiglucerase
A16AB03	Agalsidase alfa
A16AB05	Laronidase
A16AB06	Sacrosidase
A16AB07	Alglucosidase alfa
A16AB08	Galsulfase
A16AB09	Idursulfase
A16AB10	Velaglucerase alfa
A16AB11	Taliglucerase alfa
A16AB12	Elosulfase alfa
A16AB13	Asfotase alfa
A16AB14	Sebelipase alfa
A16AB15	Velmanase alfa
A16AB17	Cerliponase alfa
A16AB18	Vestronidase alfa
A16AX	Various alimentary tract and metabolism products
A16AX01	Thioctic acid
A16AX02	Anethole trithione
A16AX03	Sodium phenylbutyrate
A16AX04	Nitisinone
A16AX06	Miglustat
A16AX07	Sapropterin
A16AX08	Teduglutide
A16AX09	Glycerol phenylbutyrate
A16AX10	Eliglustat
A16AX11	Sodium benzoate
A16AX12	Trientine
A16AX13	Uridine triacetate
A16AX14	Migalastat
A16AX15	Telotristat
B	Blood and blood forming organs
B01	Antithrombotic agents
B01A	Antithrombotic agents
B01AA	Vitamin k antagonists
B01AA01	Dicoumarol
B01AA02	Phenindione
B01AA03	Warfarin
B01AA04	Phenprocoumon
B01AA07	Acenocoumarol
B01AA08	Ethyl biscoumacetate
B01AA09	Clorindione
B01AA10	Diphenadione
B01AA11	Tioclomarol
B01AA12	Fluindione
B01AB	Heparin group
B01AB02	Antithrombin iii
B01AB04	Dalteparin
B01AB05	Enoxaparin
B01AB06	Nadroparin
B01AB07	Parnaparin
B01AB08	Reviparin
B01AB09	Danaparoid
B01AB10	Tinzaparin
B01AB11	Sulodexide
B01AB12	Bemiparin
B01AB51	Heparin, combinations
B01AC	Platelet aggregation inhibitors excl. heparin
B01AC01	Ditazole
B01AC02	Cloricromen
B01AC03	Picotamide
B01AC04	Clopidogrel
B01AC05	Ticlopidine
B01AC06	Acetylsalicylic acid
B01AC07	Dipyridamole
B01AC09	Epoprostenol
B01AC10	Indobufen
B01AC11	Iloprost
B01AC13	Abciximab
B01AC16	Eptifibatide
B01AC17	Tirofiban
B01AC18	Triflusal
B01AC19	Beraprost
B01AC21	Treprostinil
B01AC22	Prasugrel
B01AC23	Cilostazol
B01AC24	Ticagrelor
B01AC25	Cangrelor
B01AC26	Vorapaxar
B01AC27	Selexipag
B01AD	Enzymes
B01AD01	Streptokinase
B01AD02	Alteplase
B01AD03	Anistreplase
B01AD04	Urokinase
B01AD05	Fibrinolysin
B01AD06	Brinase
B01AD07	Reteplase
B01AD08	Saruplase
B01AD09	Ancrod
B01AD10	Drotrecogin alfa (activated)
B01AD11	Tenecteplase
B01AD12	Protein c
B01AE	Direct thrombin inhibitors
B01AE01	Desirudin
B01AE02	Lepirudin
B01AE03	Argatroban
B01AE04	Melagatran
B01AE05	Ximelagatran
B01AE06	Bivalirudin
B01AE07	Dabigatran etexilate
B01AF	Direct factor xa inhibitors
B01AF01	Rivaroxaban
B01AF02	Apixaban
B01AF03	Edoxaban
B01AX	Other antithrombotic agents
B01AX01	Defibrotide
B01AX05	Fondaparinux
B01AX07	Caplacizumab
B02	Antihemorrhagics
B02A	Antifibrinolytics
B02AA	Amino acids
B02AA01	Aminocaproic acid
B02AA02	Tranexamic acid
B02AA03	Aminomethylbenzoic acid
B02AB	Proteinase inhibitors
B02AB01	Aprotinin
B02AB02	Alfa1 antitrypsin
B02AB04	Camostat
B02B	Vitamin k and other hemostatics
B02BA	Vitamin k
B02BA01	Phytomenadione
B02BA02	Menadione
B02BB	Fibrinogen
B02BB01	Fibrinogen, human
B02BC	Local hemostatics
B02BC02	Oxidized cellulose
B02BC03	Tetragalacturonic acid hydroxymethylester
B02BC06	Thrombin
B02BC08	Calcium alginate
B02BD	Blood coagulation factors
B02BD02	Coagulation factor viii
B02BD03	Factor viii inhibitor bypassing activity
B02BD06	Von willebrand factor and coagulation factor viii in combination
B02BD08	Coagulation factor viia
B02BD11	Catridecacog
B02BD13	Coagulation factor x
B02BD14	Susoctocog alfa
B02BX	Other systemic hemostatics
B02BX01	Etamsylate
B02BX02	Carbazochrome
B02BX03	Batroxobin
B02BX04	Romiplostim
B02BX05	Eltrombopag
B02BX06	Emicizumab
B02BX07	Lusutrombopag
B02BX08	Avatrombopag
B02BX09	Fostamatinib
B03	Antianemic preparations
B03A	Iron preparations
B03AA	Iron bivalent, oral preparations
B03AA01	Ferrous glycine sulfate
B03AA02	Ferrous fumarate
B03AA03	Ferrous gluconate
B03AA04	Ferrous carbonate
B03AA05	Ferrous chloride
B03AA06	Ferrous succinate
B03AA08	Ferrous tartrate
B03AA09	Ferrous aspartate
B03AA10	Ferrous ascorbate
B03AB	Iron trivalent, oral preparations
B03AB01	Ferric sodium citrate
B03AB02	Saccharated iron oxide
B03AB03	Sodium feredetate
B03AB04	Ferric hydroxide
B03AB10	Ferric maltol
B03AE	Iron in other combinations
B03AE02	Iron, multivitamins and folic acid
B03B	Vitamin b12 and folic acid
B03BA	Vitamin b12 (cyanocobalamin and analogues)
B03BA01	Cyanocobalamin
B03BA04	Cobamamide
B03BA05	Mecobalamin
B03BA53	Hydroxocobalamin, combinations
B03X	Other antianemic preparations
B03XA	Other antianemic preparations
B03XA01	Erythropoietin
B03XA02	Darbepoetin alfa
B03XA03	Methoxy polyethylene glycol-epoetin beta
B03XA04	Peginesatide
B03XA05	Roxadustat
B05	Blood substitutes and perfusion solutions
B05A	Blood and related products
B05AA	Blood substitutes and plasma protein fractions
B05AA05	Dextran
B05AA07	Hydroxyethylstarch
B05AA08	Hemoglobin crosfumaril
B05AA09	Hemoglobin raffimer
B05B	I.v. solutions
B05BA	Solutions for parenteral nutrition
B05BA01	Amino acids
B05C	Irrigating solutions
B05CA	Antiinfectives
B05CA05	Taurolidine
B05CA06	Mandelic acid
B05CA07	Noxytiolin
B05CB	Salt solutions
B05CB02	Sodium citrate
B05CB03	Magnesium citrate
B05CB04	Sodium bicarbonate
B05CX	Other irrigating solutions
B05CX02	Sorbitol
B05CX03	Glycine
B05CX04	Mannitol
B05X	I.v. solution additives
B05XA	Electrolyte solutions
B05XA03	Sodium chloride
B05XA04	Ammonium chloride
B05XA08	Sodium acetate
B05XA10	Magnesium phosphate
B05XA13	Hydrochloric acid
B05XA14	Sodium glycerophosphate
B05XA15	Potassium lactate
B05XA17	Potassium acetate
B05XB	Amino acids
B05XB01	Arginine hydrochloride
B05XB02	Alanyl glutamine
B05XB03	Lysine
B05XX	Other i.v. solution additives
B05XX02	Trometamol
B06	Other hematological agents
B06A	Other hematological agents
B06AA	Enzymes
B06AA02	Fibrinolysin and desoxyribonuclease
B06AA03	Hyaluronidase
B06AA07	Trypsin
B06AB	Heme products
B06AB01	Hemin
B06AC	Drugs used in hereditary angioedema
B06AC01	C1-inhibitor, plasma derived
B06AC02	Icatibant
B06AC03	Ecallantide
B06AC04	Conestat alfa
B06AC05	Lanadelumab
C	Cardiovascular system
C01	Cardiac therapy
C01A	Cardiac glycosides
C01AA	Digitalis glycosides
C01AA01	Acetyldigitoxin
C01AA02	Acetyldigoxin
C01AA04	Digitoxin
C01AA05	Digoxin
C01AA06	Lanatoside c
C01AA07	Deslanoside
C01AA08	Metildigoxin
C01AA09	Gitoformate
C01AB	Scilla glycosides
C01AB51	Proscillaridin, combinations
C01AC	Strophanthus glycosides
C01AC01	G-strophanthin
C01AC03	Cymarin
C01AX	Other cardiac glycosides
C01AX02	Peruvoside
C01B	Antiarrhythmics, class i and iii
C01BA	Antiarrhythmics, class ia
C01BA01	Quinidine
C01BA02	Procainamide
C01BA03	Disopyramide
C01BA04	Sparteine
C01BA05	Ajmaline
C01BA08	Prajmaline
C01BA12	Lorajmine
C01BA13	Hydroquinidine
C01BB	Antiarrhythmics, class ib
C01BB02	Mexiletine
C01BB03	Tocainide
C01BB04	Aprindine
C01BC	Antiarrhythmics, class ic
C01BC03	Propafenone
C01BC04	Flecainide
C01BC07	Lorcainide
C01BC08	Encainide
C01BC09	Ethacizine
C01BD	Antiarrhythmics, class iii
C01BD01	Amiodarone
C01BD02	Bretylium tosilate
C01BD03	Bunaftine
C01BD04	Dofetilide
C01BD05	Ibutilide
C01BD06	Tedisamil
C01BD07	Dronedarone
C01BG	Other antiarrhythmics, class i and iii
C01BG01	Moracizine
C01BG07	Cibenzoline
C01BG11	Vernakalant
C01C	Cardiac stimulants excl. cardiac glycosides
C01CA	Adrenergic and dopaminergic agents
C01CA02	Isoprenaline
C01CA03	Norepinephrine
C01CA04	Dopamine
C01CA05	Norfenefrine
C01CA07	Dobutamine
C01CA09	Metaraminol
C01CA10	Methoxamine
C01CA11	Mephentermine
C01CA12	Dimetofrine
C01CA13	Prenalterol
C01CA14	Dopexamine
C01CA15	Gepefrine
C01CA17	Midodrine
C01CA18	Octopamine
C01CA19	Fenoldopam
C01CA21	Cafedrine
C01CA22	Arbutamine
C01CA23	Theodrenaline
C01CA25	Amezinium metilsulfate
C01CA27	Droxidopa
C01CA51	Etilefrine, combinations
C01CE	Phosphodiesterase inhibitors
C01CE01	Amrinone
C01CE02	Milrinone
C01CE03	Enoximone
C01CE04	Bucladesine
C01CX	Other cardiac stimulants
C01CX06	Angiotensinamide
C01CX07	Xamoterol
C01CX08	Levosimendan
C01CX09	Angiotensin ii
C01D	Vasodilators used in cardiac diseases
C01DA	Organic nitrates
C01DA02	Glyceryl trinitrate
C01DA08	Isosorbide dinitrate
C01DA09	Trolnitrate
C01DA14	Isosorbide mononitrate
C01DA38	Tenitramine
C01DA54	Methylpropylpropanediol dinitrate, combinations
C01DA55	Pentaerithrityl tetranitrate, combinations
C01DA57	Propatylnitrate, combinations
C01DA63	Eritrityl tetranitrate, combinations
C01DB	Quinolone vasodilators
C01DB01	Flosequinan
C01DX	Other vasodilators used in cardiac diseases
C01DX01	Itramin tosilate
C01DX03	Oxyfedrine
C01DX05	Carbocromen
C01DX06	Hexobendine
C01DX07	Etafenone
C01DX08	Heptaminol
C01DX09	Imolamine
C01DX10	Dilazep
C01DX11	Trapidil
C01DX12	Molsidomine
C01DX13	Efloxate
C01DX14	Cinepazet
C01DX15	Cloridarol
C01DX16	Nicorandil
C01DX18	Linsidomine
C01DX19	Nesiritide
C01DX21	Serelaxin
C01DX52	Prenylamine, combinations
C01DX54	Benziodarone, combinations
C01E	Other cardiac preparations
C01EA	Prostaglandins
C01EA01	Alprostadil
C01EB	Other cardiac preparations
C01EB02	Camphora
C01EB05	Creatinolfosfate
C01EB06	Fosfocreatine
C01EB07	Fructose 1,6-diphosphate
C01EB09	Ubidecarenone
C01EB10	Adenosine
C01EB11	Tiracizine
C01EB13	Acadesine
C01EB15	Trimetazidine
C01EB17	Ivabradine
C01EB18	Ranolazine
C01EB21	Regadenoson
C01EB22	Meldonium
C02	Antihypertensives
C02A	Antiadrenergic agents, centrally acting
C02AA	Rauwolfia alkaloids
C02AA03	Combinations of rauwolfia alkaloids
C02AA06	Methoserpidine
C02AA07	Bietaserpine
C02AC	Imidazoline receptor agonists
C02AC02	Guanfacine
C02AC04	Tolonidine
C02AC05	Moxonidine
C02AC06	Rilmenidine
C02B	Antiadrenergic agents, ganglion-blocking
C02BA	Sulfonium derivatives
C02BA01	Trimetaphan
C02BB	Secondary and tertiary amines
C02BB01	Mecamylamine
C02C	Antiadrenergic agents, peripherally acting
C02CA	Alpha-adrenoreceptor antagonists
C02CA02	Indoramin
C02CA03	Trimazosin
C02CA04	Doxazosin
C02CA06	Urapidil
C02CC	Guanidine derivatives
C02CC01	Betanidine
C02CC03	Guanoxan
C02CC04	Debrisoquine
C02CC05	Guanoclor
C02CC06	Guanazodine
C02CC07	Guanoxabenz
C02D	Arteriolar smooth muscle, agents acting on
C02DB	Hydrazinophthalazine derivatives
C02DB02	Hydralazine
C02DB03	Endralazine
C02DB04	Cadralazine
C02DD	Nitroferricyanide derivatives
C02DD01	Nitroprusside
C02DG	Guanidine derivatives
C02DG01	Pinacidil
C02K	Other antihypertensives
C02KB	Tyrosine hydroxylase inhibitors
C02KB01	Metirosine
C02KD	Serotonin antagonists
C02KD01	Ketanserin
C02KX	Antihypertensives for pulmonary arterial hypertension
C02KX02	Ambrisentan
C02KX03	Sitaxentan
C02KX04	Macitentan
C02KX05	Riociguat
C02L	Antihypertensives and diuretics in combination
C02LA	Rauwolfia alkaloids and diuretics in combination
C02LA03	Deserpidine and diuretics
C02LA51	Reserpine and diuretics, combinations with other drugs
C02LA52	Rescinnamine and diuretics, combinations with other drugs
C02LE	Alpha-adrenoreceptor antagonists and diuretics
C02LE01	Prazosin and diuretics
C02LG	Hydrazinophthalazine derivatives and diuretics
C02LG01	Dihydralazine and diuretics
C02LL	Mao inhibitors and diuretics
C02LL01	Pargyline and diuretics
C03	Diuretics
C03A	Low-ceiling diuretics, thiazides
C03AA	Thiazides, plain
C03AA02	Hydroflumethiazide
C03AA05	Polythiazide
C03AA08	Methyclothiazide
C03AA13	Mebutizide
C03AB	Thiazides and potassium in combination
C03AB01	Bendroflumethiazide and potassium
C03AB03	Hydrochlorothiazide and potassium
C03AB04	Chlorothiazide and potassium
C03AB07	Cyclopenthiazide and potassium
C03B	Low-ceiling diuretics, excl. thiazides
C03BA	Sulfonamides, plain
C03BA02	Quinethazone
C03BA10	Xipamide
C03BA11	Indapamide
C03BA12	Clorexolone
C03BA13	Fenquizone
C03BB	Sulfonamides and potassium in combination
C03BB03	Clopamide and potassium
